Problem,URL,Main_Category,Subcategory,Solved,Notes,Source
Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description/,01. Arrays & Hashing,Array,Yes,"maintain read, write pointers",original
Rotate Array,https://leetcode.com/problems/rotate-array,01. Arrays & Hashing,Array,Yes,Double Reverse approach,original
Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,01. Arrays & Hashing,Array,Yes,Double Reverse approach,original
H-Index,https://leetcode.com/problems/h-index,01. Arrays & Hashing,Array,,,original
Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,01. Arrays & Hashing,Array,Yes,"Left cum, Right Cum",original
Gas Station,https://leetcode.com/problems/gas-station,01. Arrays & Hashing,Array,Yes,--- No point revising,original
Integer to Roman,https://leetcode.com/problems/integer-to-roman,01. Arrays & Hashing,Array,,,original
Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,01. Arrays & Hashing,Array,Yes,--- No point revising,original
Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,01. Arrays & Hashing,Array,Yes,Array Marking Problem-- #map the nums set to indices,original
Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,01. Arrays & Hashing,Array Combo,Yes,Intersting Problem -- Don't slide all elements,original
Min Stack,https://leetcode.com/problems/min-stack,01. Arrays & Hashing,Array Combo,,Intersting Problem -- Maintain all min indices?,original
Group Anagrams,https://leetcode.com/problems/group-anagrams,01. Arrays & Hashing,Hashmap,Yes,Easy,original
Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,01. Arrays & Hashing,Hashmap,Yes,Very good question,original
Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,01. Arrays & Hashing,,,,original
Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,01. Arrays & Hashing,,,,original
Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array,01. Arrays & Hashing,,,,original
Next Permutation,https://leetcode.com/problems/next-permutation,01. Arrays & Hashing,,,,original
Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,01. Arrays & Hashing,,,,neetcode import
Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,02. Sliding Window,Sliding Window,Yes,Easy,original
Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,02. Sliding Window,Sliding Window,Yes,Easy,original
Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,02. Sliding Window,Sliding Window,Yes,Basic 2 Sliding Window,original
Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,02. Sliding Window,Sliding Window,Yes,--- No point revising -- Same as above,original
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,02. Sliding Window,Sliding Window,Yes,Easy -- Sum -- But practice again,original
Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,02. Sliding Window,Sliding Window,Yes,Basic 2 Sliding Window,original
Maximum Number of Vowels in a Substring of Given Length,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,02. Sliding Window,Sliding Window,Yes,Fixed Size - Easy type,original
Permutation in String,https://leetcode.com/problems/permutation-in-string/,02. Sliding Window,Sliding Window,Yes,Fixed Size Window Problem,original
Longest Subarray of 1's After Deleting One Element,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,02. Sliding Window,Sliding Window,,Tricky Edgy Problem,original
Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element,02. Sliding Window,Sliding Window,,,original
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,02. Sliding Window,Sliding Window,,,original
Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,02. Sliding Window,Sliding Window,,,neetcode import
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,02. Sliding Window,Sliding Window,,,neetcode import
Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,02. Sliding Window,Sliding Window,Yes,classsic two sum,original
Container With Most Water,https://leetcode.com/problems/container-with-most-water,02. Sliding Window,Sliding Window,Yes,don't remember this problem,original
3Sum,https://leetcode.com/problems/3sum,02. Sliding Window,Sliding Window,,--- No point revising,original
3Sum Closest,https://leetcode.com/problems/3sum-closest/,02. Sliding Window,Sliding Window,,--- No point revising,original
Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,02. Sliding Window,Sliding Window,Yes,Array - using fast slow pointers,original
Sort Colors,https://leetcode.com/problems/sort-colors/,02. Sliding Window,Sliding Window,,,original
String Compression,https://leetcode.com/problems/string-compression,02. Sliding Window,Sliding Window,,,original
4Sum,https://leetcode.com/problems/4sum,02. Sliding Window,Sliding Window,,,original
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,02. Sliding Window,Sliding Window,,,neetcode import
Merge Intervals,https://leetcode.com/problems/merge-intervals,03. Intervals,Intervals,Yes,Don't sort by end_time,original
Insert Interval,https://leetcode.com/problems/insert-interval,03. Intervals,Intervals,Yes,Same as above,original
Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,03. Intervals,Intervals,Yes,"Sort by End time, start_time",original
Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,03. Intervals,Intervals,Yes,,original
Interval List Intersections,https://leetcode.com/problems/interval-list-intersections/,03. Intervals,Intervals,Yes,Nice Edge cases,original
Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,03. Intervals,Intervals,Yes,Basic Greedy,original
Task Scheduler,https://leetcode.com/problems/task-scheduler/,03. Intervals,Intervals,,,original
My Calendar I,https://leetcode.com/problems/my-calendar-i,03. Intervals,Intervals,,,original
Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,03. Intervals,Intervals,,,neetcode import
Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,04. Heap / Priority Queue,Heap,,,original
Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,04. Heap / Priority Queue,Heap,,,original
Reorganize String,https://leetcode.com/problems/reorganize-string/,04. Heap / Priority Queue,Heap,,,original
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,04. Heap / Priority Queue,Heap,,,original
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,04. Heap / Priority Queue,Heap,,,original
Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,04. Heap / Priority Queue,Heap,,,original
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,04. Heap / Priority Queue,Heap,,,original
Reorganize String,https://leetcode.com/problems/reorganize-string,04. Heap / Priority Queue,Heap,,,original
Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,04. Heap / Priority Queue,Heap,,,original
Design Twitter,https://leetcode.com/problems/design-twitter/,04. Heap / Priority Queue,Heap,,,neetcode import
Find Median From Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,04. Heap / Priority Queue,Heap,,,neetcode import
Daily Temperatures,https://leetcode.com/problems/daily-temperatures,05. Stack,Monotonic Stack,,,original
Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view,05. Stack,Monotonic Stack,Yes,,original
Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,05. Stack,Monotonic Stack,Yes,,original
Remove K Digits,https://leetcode.com/problems/remove-k-digits,05. Stack,Monotonic Stack,Yes,,original
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,05. Stack,Monotonic Stack,Yes,,original
Simplify Path,https://leetcode.com/problems/simplify-path,05. Stack,Simple Stack,,,original
Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,05. Stack,Simple Stack,Yes,easy,original
decode string,https://leetcode.com/problems/decode-string/description/?envType=featured-list&envId=top-microsoft-questions?envType=featured-list&envId=top-microsoft-questions,05. Stack,Simple Stack,,,original
Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,05. Stack,Simple Stack,Yes,,original
Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,05. Stack,Simple Stack,,,original
Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,05. Stack,Simple Stack,,,original
132 Pattern,https://leetcode.com/problems/132-pattern,05. Stack,Simple Stack,,,original
Car Fleet,https://leetcode.com/problems/car-fleet/,05. Stack,Simple Stack,,,neetcode import
Largest Rectangle In Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,05. Stack,Simple Stack,,,neetcode import
Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,06. Tries,Trie,,,original
Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,06. Tries,Trie,,,original
Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary/,06. Tries,Trie,,,original
Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,06. Tries,Trie,,,original
Word Search II,https://leetcode.com/problems/word-search-ii/,06. Tries,Trie,,,neetcode import
Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,07. Greedy,Greedy,,,original
Largest Palindromic Number,https://leetcode.com/problems/largest-palindromic-number,07. Greedy,Greedy,,,original
Hand of Straights,https://leetcode.com/problems/hand-of-straights/,07. Greedy,Greedy,,,neetcode import
Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,07. Greedy,Greedy,,,neetcode import
Partition Labels,https://leetcode.com/problems/partition-labels/,07. Greedy,Greedy,,,neetcode import
Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,08. Binary Search,Binary Search,,You have to find row using row_end not row_start,original
Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,08. Binary Search,Binary Search,Yes,"Simultaneous row, col search possible",original
Find Peak Element,https://leetcode.com/problems/find-peak-element,08. Binary Search,Binary Search,Yes,Default loop logic breaks -- see notes,original
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,08. Binary Search,Binary Search,Yes,Default loop logic breaks -- see notes,original
Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,08. Binary Search,Binary Search,,,original
Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,08. Binary Search,Binary Search,,,original
Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,08. Binary Search,Binary Search,,,original
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,08. Binary Search,Binary Search,,,original
Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,08. Binary Search,Binary Search,,,original
Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,08. Binary Search,Binary Search,,,original
Minimum Absolute Difference Between Elements With Constraint,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,08. Binary Search,Binary Search,,,original
Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,08. Binary Search,Binary Search,,,neetcode import
Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,08. Binary Search,Binary Search,,,neetcode import
Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,08. Binary Search,Binary Search,,,neetcode import
Maximum Number of Operations With the Same Score II,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii,08. Dynamic Programming,1-D Dynamic Programming,,,original
Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,08. Dynamic Programming,1D DP,,,original
House Robber,https://leetcode.com/problems/house-robber,08. Dynamic Programming,1D DP,,,original
Jump Game,https://leetcode.com/problems/jump-game/,08. Dynamic Programming,1D DP,,,original
Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,08. Dynamic Programming,1D DP,,,original
Jump Game II,https://leetcode.com/problems/jump-game-ii,08. Dynamic Programming,1D DP,,https://leetcode.com/problems/climbing-stairs/,original
