Problem_Name,URL,Status,Subcategory
Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,Existing,Heap
Design Twitter,https://leetcode.com/problems/design-twitter/,Missing,Heap
Find K Pairs With Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Missing,Heap
Find Median From Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Missing,Heap
K Closest Points To Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Missing,Heap
Kth Largest Element In An Array,https://leetcode.com/problems/kth-largest-element-in-an-array,Missing,Heap
Reorganize String,https://leetcode.com/problems/reorganize-string/,Missing,Heap
Reorganize String,https://leetcode.com/problems/reorganize-string,Missing,Heap
Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,Missing,Heap
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Missing,Heap
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Missing,Heap
