Problem_Name,URL,Status,Subcategory
Maximum Length Of A Concatenated String With Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/description/?envType=featured-list&envId=top-microsoft-questions?envType=featured-list&envId=top-microsoft-questions,Existing,Backtracking
Permutations,https://leetcode.com/problems/permutations,Existing,Backtracking
Subsets,https://leetcode.com/problems/subsets/,Existing,Backtracking
Combination Sum,https://leetcode.com/problems/combination-sum,Missing,Backtracking
Combination Sum Ii,https://leetcode.com/problems/combination-sum-ii/,Missing,Backtracking
Combination Sum Iii,https://leetcode.com/problems/combination-sum-iii/,Missing,Backtracking
Combinations,https://leetcode.com/problems/combinations,Missing,Backtracking
Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree,Missing,Backtracking
Factor Combinations,https://leetcode.com/problems/factor-combinations/,Missing,Backtracking
Generalized Abbreviation,https://leetcode.com/problems/generalized-abbreviation/,Missing,Backtracking
Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Missing,Backtracking
Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/,Missing,Backtracking
Letter Combinations Of A Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Missing,Backtracking
N Queens,https://leetcode.com/problems/n-queens/,Missing,Backtracking
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Missing,Backtracking
Permutations Ii,https://leetcode.com/problems/permutations-ii/,Missing,Backtracking
Restore Ip Addresses,https://leetcode.com/problems/restore-ip-addresses,Missing,Backtracking
Split A String Into The Max Number Of Unique Substrings,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/,Missing,Backtracking
Subsets Ii,https://leetcode.com/problems/subsets-ii/,Missing,Backtracking
Word Search,https://leetcode.com/problems/word-search,Missing,Backtracking
