Problem_Name,URL,Status,Subcategory
Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list,Existing,Linked List
Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,Existing,Linked List - Reversal
Remove Duplicates From Sorted List Ii,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Existing,Linked List
Remove Nth Node From End Of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Existing,Linked List
Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Missing,Linked List
Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,Missing,Linked List
Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,Missing,Linked List
Linked List Cycle Ii,https://leetcode.com/problems/linked-list-cycle-ii/,Missing,Linked List
Lru Cache,https://leetcode.com/problems/lru-cache,Missing,Linked List
Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Missing,Linked List
Partition List,https://leetcode.com/problems/partition-list,Missing,Linked List
Reorder List,https://leetcode.com/problems/reorder-list/,Missing,Linked List
Reverse Linked List Ii,https://leetcode.com/problems/reverse-linked-list-ii/,Missing,Linked List - Reversal
Reverse Nodes In K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Missing,Linked List
Rotate List,https://leetcode.com/problems/rotate-list,Missing,Linked List
Sort List,https://leetcode.com/problems/sort-list/,Missing,Linked List
Swap Nodes In Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Missing,Linked List - Reversal
