Problem_Name,URL,Status,Subcategory
Design Tic Tac Toe,https://leetcode.com/problems/design-tic-tac-toe,Missing,Math-Uncategorized
Detect Squares,https://leetcode.com/problems/detect-squares/,Missing,Math-Uncategorized
Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes,Missing,Math
Find Missing Observations,https://leetcode.com/problems/find-missing-observations,Missing,Math-Uncategorized
Game Of Life,https://leetcode.com/problems/game-of-life,Missing,Matrix
Minimum Moves To Spread Stones Over Grid,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,Missing,Math-Uncategorized
Multiply Strings,https://leetcode.com/problems/multiply-strings,Missing,Math-Uncategorized
Nth Digit,https://leetcode.com/problems/nth-digit,Missing,Math-Uncategorized
Powx N,https://leetcode.com/problems/powx-n,Missing,Math
Reverse Integer,https://leetcode.com/problems/reverse-integer,Missing,Math-Uncategorized
Rotate Image,https://leetcode.com/problems/rotate-image,Missing,Matrix
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,Missing,Matrix
Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Missing,Matrix
String To Integer Atoi,https://leetcode.com/problems/string-to-integer-atoi,Missing,Math-Uncategorized
Valid Sudoku,https://leetcode.com/problems/valid-sudoku,Missing,Matrix
